,代码,名称
723,sh600616,金枫酒业
724,sh600617,国新能源
725,sh600618,氯碱化工
726,sh600619,海立股份
727,sh600620,天宸股份
728,sh600621,华鑫股份
729,sh600622,光大嘉宝
730,sh600623,华谊集团
731,sh600624,复旦复华
732,sh600626,申达股份
733,sh600628,新世界
734,sh600629,华建集团
735,sh600630,龙头股份
736,sh600633,浙数文化
737,sh600635,大众公用
738,sh600636,国新文化
739,sh600637,东方明珠
740,sh600638,新黄浦
741,sh600639,浦东金桥
742,sh600640,国脉文化
743,sh600641,万业企业
744,sh600642,申能股份
745,sh600643,爱建集团
746,sh600644,乐山电力
747,sh600645,中源协和
748,sh600647,退市同达
749,sh600648,外高桥
750,sh600649,城投控股
751,sh600650,锦江在线
752,sh600651,飞乐音响
753,sh600653,申华控股
754,sh600654,中安消
755,sh600655,豫园股份
756,sh600657,信达地产
757,sh600658,电子城
758,sh600660,福耀玻璃
759,sh600661,昂立教育
760,sh600662,外服控股
761,sh600663,陆家嘴
762,sh600664,哈药股份
763,sh600665,天地源
764,sh600666,ST瑞德
765,sh600667,XD太极实
766,sh600668,尖峰集团
767,sh600671,ST目药
768,sh600673,东阳光
769,sh600674,川投能源
770,sh600675,中华企业
771,sh600676,交运股份
772,sh600678,四川金顶
773,sh600679,上海凤凰
774,sh600681,百川能源
775,sh600682,南京新百
776,sh600683,京投发展
777,sh600684,珠江股份
778,sh600685,中船防务
779,sh600686,金龙汽车
780,sh600688,上海石化
781,sh600689,上海三毛
782,sh600690,海尔智家
783,sh600691,阳煤化工
784,sh600692,亚通股份
785,sh600693,东百集团
786,sh600694,大商股份
787,sh600696,岩石股份
788,sh600697,欧亚集团
789,sh600698,湖南天雁
790,sh600699,均胜电子
791,sh600702,舍得酒业
792,sh600703,三安光电
793,sh600704,物产中大
794,sh600705,中航产融
795,sh600706,曲江文旅
796,sh600707,彩虹股份
797,sh600708,光明地产
798,sh600710,苏美达
799,sh600711,盛屯矿业
800,sh600712,南宁百货
801,sh600713,XD南京医
802,sh600714,金瑞矿业
803,sh600715,*ST文投
804,sh600716,凤凰股份
805,sh600717,天津港
806,sh600718,东软集团
807,sh600719,大连热电
808,sh600720,中交设计
809,sh600721,百花医药
810,sh600722,金牛化工
811,sh600724,宁波富达
812,sh600725,云维股份
813,sh600726,华电能源
814,sh600727,鲁北化工
815,sh600728,佳都科技
816,sh600729,重庆百货
817,sh600730,中国高科
818,sh600731,湖南海利
819,sh600732,爱旭股份
820,sh600733,北汽蓝谷
821,sh600734,实达集团
822,sh600735,新华锦
823,sh600736,苏州高新
824,sh600737,中粮糖业
825,sh600738,丽尚国潮
826,sh600739,辽宁成大
827,sh600740,山西焦化
828,sh600741,华域汽车
829,sh600742,一汽富维
830,sh600743,华远地产
831,sh600744,华银电力
832,sh600745,闻泰科技
833,sh600746,江苏索普
834,sh600748,上实发展
835,sh600749,西藏旅游
836,sh600750,江中药业
837,sh600751,海航科技
838,sh600753,庚星股份
839,sh600754,锦江酒店
840,sh600755,厦门国贸
841,sh600756,浪潮软件
842,sh600757,长江传媒
843,sh600758,辽宁能源
844,sh600759,洲际油气
845,sh600760,中航沈飞
846,sh600761,安徽合力
847,sh600763,通策医疗
848,sh600764,中国海防
849,sh600765,中航重机
850,sh600766,退市园城
851,sh600768,宁波富邦
852,sh600769,祥龙电业
853,sh600770,综艺股份
854,sh600771,广誉远
855,sh600773,西藏城投
856,sh600774,汉商集团
857,sh600775,南京熊猫
858,sh600776,东方通信
859,sh600777,ST新潮
860,sh600778,友好集团
861,sh600779,水井坊
862,sh600780,通宝能源
863,sh600782,新钢股份
864,sh600783,鲁信创投
865,sh600784,鲁银投资
866,sh600785,新华百货
867,sh600787,中储股份
868,sh600789,鲁抗医药
869,sh600790,轻纺城
870,sh600791,京能置业
871,sh600792,XD云煤能
872,sh600793,宜宾纸业
873,sh600794,保税科技
874,sh600795,国电电力
875,sh600796,钱江生化
876,sh600797,浙大网新
877,sh600798,宁波海运
878,sh600800,渤海化学
879,sh600801,华新水泥
880,sh600802,福建水泥
881,sh600803,新奥股份
882,sh600804,*ST鹏博
883,sh600805,悦达投资
884,sh600807,济南高新
885,sh600808,马钢股份
886,sh600809,山西汾酒
887,sh600810,神马股份
888,sh600811,东方集团
889,sh600812,华北制药
890,sh600814,杭州解百
891,sh600815,厦工股份
892,sh600816,建元信托
893,sh600817,宇通重工
894,sh600818,中路股份
895,sh600819,耀皮玻璃
896,sh600820,隧道股份
897,sh600821,金开新能
