,name,cname,symbol,category
250,Phillips 66,菲利普66公司,PSX,
251,ING Groep NV,荷兰国际集团,ING,保险
252,The Bank of Nova Scotia,加拿大丰业银行,BNS,银行
253,Ita煤 Unibanco Holding SA,艾涛巴西联合银行,ITUB,银行
254,Arthur J. Gallagher & Co.,亚瑟加拉格尔有限公司,AJG,保险
255,Banco Bilbao Vizcaya Argentaria SA,Banco Bilbao Vizcaya Argentaria SA,BBVA,银行
256,Nu Holdings Ltd.,Nu Holdings Ltd.,NU,
257,"PACCAR, Inc.",帕卡公司,PCAR,汽车制造
258,3M Co.,明尼苏达矿业制造公司,MMM,
259,"Workday, Inc.",工作日公司,WDAY,软件
260,National Grid Plc,英国国家电网公司,NGG,
261,"Moderna, Inc.","Moderna, Inc.",MRNA,生物技术和制药
262,General Motors Co.,通用汽车公司,GM,汽车制造
263,iShares Russell 1000 Value ETF,罗素1000价值指数ETF-iShares,IWD,股权
264,Occidental Petroleum Corp.,西方石油公司,OXY,
265,Edwards Lifesciences Corp.,爱德华兹生命科学公司,EW,
266,"Hilton Worldwide Holdings, Inc.",希尔顿酒店,HLT,住宿
267,CRH Plc,CRH水泥,CRH,建筑材料
268,America Movil SAB de CV,美洲移动公司,AMX,
269,"Palantir Technologies, Inc.","Palantir Technologies, Inc.",PLTR,
270,iShares Gold Trust,黄金ETF-iShares,IAU,股权
271,"Honda Motor Co., Ltd.",本田汽车公司,HMC,汽车制造
272,"Copart, Inc.",科帕特,CPRT,
273,Energy Transfer LP,Energy Transfer LP,ET,媒体内容
274,Capital One Financial Corp.,第一资本金融公司,COF,
275,"Interactive Brokers Group, Inc.",盈透证券,IBKR,多元化金融服务
276,"The Williams Cos., Inc.",威廉姆斯公司,WMB,管道
277,Monster Beverage Corp.,怪物饮料,MNST,饮料
278,Public Storage,公共存储公司,PSA,
279,Norfolk Southern Corp.,诺福克南方公司,NSC,运输
280,"Aflac, Inc.",美国家庭人寿保险公司,AFL,保险
281,"Super Micro Computer, Inc.",超微电脑,SMCI,计算机
282,"Mizuho Financial Group, Inc.",瑞穗金融集团,MFG,银行
283,Valero Energy Corp.,瓦莱罗能源,VLO,油气
284,"Microchip Technology, Inc.",微芯科技公司,MCHP,半导体
285,Eni SpA,埃尼石油公司,E,
286,"Autodesk, Inc.",欧特克公司,ADSK,软件
287,"MetLife, Inc.",大都会人寿公司,MET,保险
288,"American International Group, Inc.",美国国际集团,AIG,保险
289,"Ross Stores, Inc.",罗斯百货有限公司,ROST,
290,"Digital Realty Trust, Inc.",数字房地产信托公司,DLR,房地产信托投资基金
291,"Simon Property Group, Inc.",西蒙地产集团,SPG,
292,"AutoZone, Inc.",汽车地带,AZO,零售
293,Vale SA,淡水河谷公司,VALE,钢铁
294,Sempra,桑普拉能源公司,SRE,
